file,snr,maxSilence,minimumAudioLength,energyWindow4Analysis,pitchWindow4Analysis,featurewindowsize,featurewindowshift,minNFeaturesInCluster,nClasses,nhidden,minibatch,nEpochs,accuracy,precision,recall,f1,tp,tn,fp,fn,kappa,kappa_lk,kappa_f
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\TIN\TIN2\TIN2.wav,9.052316809,0.5,5,0.1,0.1,0.3,0.1,5,2,3,150,2,0.819871312,0.194075375,0.949928489,0.322302632,210545,3819498,874317,11098,0.267446826,Fair,Marginal
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\TIN\TIN2\TIN2.wav,9.052316808794696,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8198713120934,0.19407537548554563,0.9499284886055503,0.32230263183072394,210545,3819498,874317,11098,0.2674468257080564,Fair,Marginal
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\TIN\TIN2\TIN2.wav,9.052316808794696,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8198713120934,0.19407537548554563,0.9499284886055503,0.32230263183072394,210545,3819498,874317,11098,0.2674468257080564,Fair,Marginal
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\TIN\TIN2\TIN2.wav,9.052316808794696,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8917539321869905,0.14085038247775242,0.2746443605257103,0.18620578901082097,60873,4322506,371309,160770,0.13461975310108915,Slight,Marginal
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\TIN\TIN2\TIN2.wav,9.052316808794696,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8198713120934,0.19407537548554563,0.9499284886055503,0.32230263183072394,210545,3819498,874317,11098,0.2674468257080564,Fair,Marginal
